timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610464205112,1717,1.1 - GET - Home,200,OK,Load Test 1-10,text,true,,1555,463,10,10,https://blazedemo.com/,1716,0,1137
1610464204319,2656,1.1 - GET - Home,200,OK,Load Test 1-2,text,true,,1467,463,10,10,https://blazedemo.com/,2651,0,2049
1610464204913,2644,1.1 - GET - Home,200,OK,Load Test 1-8,text,true,,1497,463,10,10,https://blazedemo.com/,2644,0,1335
1610464205011,2858,1.1 - GET - Home,200,OK,Load Test 1-9,text,true,,1405,463,10,10,https://blazedemo.com/,2858,0,1240
1610464204295,3607,1.1 - GET - Home,200,OK,Load Test 1-1,text,true,,1459,463,10,10,https://blazedemo.com/,3607,0,1953
1610464204516,3399,1.1 - GET - Home,200,OK,Load Test 1-4,text,true,,1479,463,10,10,https://blazedemo.com/,3397,0,1735
1610464204615,3304,1.1 - GET - Home,200,OK,Load Test 1-5,text,true,,1547,463,10,10,https://blazedemo.com/,3304,0,1633
1610464204713,3212,1.1 - GET - Home,200,OK,Load Test 1-6,text,true,,1369,463,10,10,https://blazedemo.com/,3211,0,1535
1610464204421,3507,1.1 - GET - Home,200,OK,Load Test 1-3,text,true,,1515,463,10,10,https://blazedemo.com/,3507,0,1830
1610464206975,1094,2.1 - POST - Reserve,200,OK,Load Test 1-2,text,true,,1401,528,10,10,https://blazedemo.com/reserve.php,1093,0,0
1610464207871,2325,2.1 - POST - Reserve,200,OK,Load Test 1-9,text,true,,1577,528,10,10,https://blazedemo.com/reserve.php,2323,0,0
1610464207916,3200,2.1 - POST - Reserve,200,OK,Load Test 1-4,text,true,,1474,526,10,10,https://blazedemo.com/reserve.php,3200,0,0
1610464207903,3511,2.1 - POST - Reserve,200,OK,Load Test 1-1,text,true,,1536,529,10,10,https://blazedemo.com/reserve.php,3510,0,0
1610464207929,3832,2.1 - POST - Reserve,200,OK,Load Test 1-3,text,true,,1399,524,10,10,https://blazedemo.com/reserve.php,3831,0,0
1610464207926,5055,2.1 - POST - Reserve,200,OK,Load Test 1-6,text,true,,1614,529,10,10,https://blazedemo.com/reserve.php,5053,0,0
1610464207919,5559,2.1 - POST - Reserve,200,OK,Load Test 1-5,text,true,,1482,529,10,10,https://blazedemo.com/reserve.php,5558,0,0
1610464208072,5675,3.1 - POST - Purchase,200,OK,Load Test 1-2,text,true,,1615,575,10,10,https://blazedemo.com/purchase.php,5674,0,0
1610464211417,5564,3.1 - POST - Purchase,200,OK,Load Test 1-1,text,true,,1831,578,10,10,https://blazedemo.com/purchase.php,5562,0,0
1610464212982,5893,3.1 - POST - Purchase,200,OK,Load Test 1-6,text,true,,1638,578,10,10,https://blazedemo.com/purchase.php,5892,0,0
1610464213479,6483,3.1 - POST - Purchase,200,OK,Load Test 1-5,text,true,,1659,574,10,10,https://blazedemo.com/purchase.php,6482,0,0
1610464213748,6870,4.1 - POST - Confirmation,200,OK,Load Test 1-2,text,true,,1458,694,10,10,https://blazedemo.com/confirmation.php,6868,0,0
1610464211119,14294,3.1 - POST - Purchase,200,OK,Load Test 1-4,text,true,,1618,573,10,10,https://blazedemo.com/purchase.php,14292,0,0
1610464210197,16319,3.1 - POST - Purchase,200,OK,Load Test 1-9,text,true,,1725,577,10,10,https://blazedemo.com/purchase.php,16318,0,0
1610464216981,12294,4.1 - POST - Confirmation,200,OK,Load Test 1-1,text,true,,1631,722,10,10,https://blazedemo.com/confirmation.php,12294,0,0
1610464220620,19482,1.1 - GET - Home,200,OK,Load Test 1-2,text,true,,1333,463,9,9,https://blazedemo.com/,19481,0,0
1610464219963,22365,4.1 - POST - Confirmation,200,OK,Load Test 1-5,text,true,,1587,722,9,9,https://blazedemo.com/confirmation.php,22365,0,0
1610464240102,13277,2.1 - POST - Reserve,200,OK,Load Test 1-2,text,true,,1424,532,8,8,https://blazedemo.com/reserve.php,13275,0,0
1610464253381,4131,3.1 - POST - Purchase,200,OK,Load Test 1-2,text,true,,1758,579,8,8,https://blazedemo.com/purchase.php,4128,0,0
1610464226516,40004,4.1 - POST - Confirmation,200,OK,Load Test 1-9,text,true,,1523,722,8,8,https://blazedemo.com/confirmation.php,40002,0,0
1610464257511,16865,4.1 - POST - Confirmation,200,OK,Load Test 1-2,text,true,,1570,722,7,7,https://blazedemo.com/confirmation.php,16863,0,0
1610464225414,65535,4.1 - POST - Confirmation,200,OK,Load Test 1-4,text,true,,1509,694,6,6,https://blazedemo.com/confirmation.php,65533,0,0
1610464204813,96053,1.1 - GET - Home,200,OK,Load Test 1-7,text,true,,1319,463,5,5,https://blazedemo.com/,96053,0,1435
1610464207559,96004,2.1 - POST - Reserve,200,OK,Load Test 1-8,text,true,,1646,529,5,5,https://blazedemo.com/reserve.php,96004,0,0
1610464206834,97721,2.1 - POST - Reserve,200,OK,Load Test 1-10,text,true,,1536,532,5,5,https://blazedemo.com/reserve.php,97719,0,0
1610464218875,87330,4.1 - POST - Confirmation,200,OK,Load Test 1-6,text,true,,1591,694,5,5,https://blazedemo.com/confirmation.php,87327,0,0
1610464211763,95120,3.1 - POST - Purchase,200,OK,Load Test 1-3,text,true,,1710,568,4,4,https://blazedemo.com/purchase.php,95118,0,0
1610464306883,787,4.1 - POST - Confirmation,200,OK,Load Test 1-3,text,true,,1602,722,4,4,https://blazedemo.com/confirmation.php,785,0,286
1610464304556,8980,3.1 - POST - Purchase,200,OK,Load Test 1-10,text,true,,1702,579,3,3,https://blazedemo.com/purchase.php,8977,0,293
1610464313538,4423,4.1 - POST - Confirmation,200,OK,Load Test 1-10,text,true,,1544,694,3,3,https://blazedemo.com/confirmation.php,4421,0,0
1610464303564,24324,3.1 - POST - Purchase,200,OK,Load Test 1-8,text,true,,1655,574,2,2,https://blazedemo.com/purchase.php,24322,0,296
1610464300867,27098,2.1 - POST - Reserve,200,OK,Load Test 1-7,text,true,,1629,531,2,2,https://blazedemo.com/reserve.php,27095,0,443
1610464327889,359,4.1 - POST - Confirmation,200,OK,Load Test 1-8,text,true,,1583,694,2,2,https://blazedemo.com/confirmation.php,357,0,0
1610464327966,1101,3.1 - POST - Purchase,200,OK,Load Test 1-7,text,true,,1838,576,1,1,https://blazedemo.com/purchase.php,1097,0,0
1610464329068,305,4.1 - POST - Confirmation,200,OK,Load Test 1-7,text,true,,1425,722,1,1,https://blazedemo.com/confirmation.php,305,0,0
